NAME,BRAND,UNIT,CATEGORY,SUB-CATEGORY,SKU (Leave blank to auto generate sku),BARCODE TYPE,MANAGE STOCK (1=yes 0=No),ALERT QUANTITY,EXPIRES IN,EXPIRY PERIOD UNIT (months/days),APPLICABLE TAX,Selling Price Tax Type (inclusive or exclusive),PRODUCT TYPE (single or variable),VARIATION NAME (Keep blank if product type is single),VARIATION VALUES (| seperated values & blank if product type if single),VARIATION SKUs (| seperated values & blank if product type if single),PURCHASE PRICE (Including tax),PURCHASE PRICE (Excluding tax),PROFIT MARGIN,SELLING PRICE,OPENING STOCK,LOCATION,EXPIRY DATE,ENABLE IMEI OR SERIAL NUMBER(1=yes 0=No),WEIGHT,RACK,ROW,POSITION,IMAGE,PRODUCT DESCRIPTION,CUSTOM FIELD 1,CUSTOM FIELD 2,CUSTOM FIELD 3,CUSTOM FIELD 4,NOT FOR SELLING(1=yes 0=No),PRODUCT LOCATIONS
A-Cold 4 mg/5 ml,ACME Laboratories Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,40.12,,40.12,,,,0,,,,,,,Bromhexine Hydrochloride,4 mg/5 ml,,,0,
A-Cof (10 mg+30 mg+1.25 mg)/5 ml,ACME Laboratories Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,100.00,,100.00,,,,0,,,,,,,Dextromethorphan + Pseudoephedrine + Triprolidine,(10 mg+30 mg+1.25 mg)/5 ml,,,0,
A-Clox 500 mg/vial,ACME Laboratories Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,28.43,,28.43,,,,0,,,,,,,Cloxacillin Sodium,500 mg/vial,,,0,
A-Clox 250 mg/vial,ACME Laboratories Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,20.00,,20.00,,,,0,,,,,,,Cloxacillin Sodium,250 mg/vial,,,0,
A-Clox 125 mg/5 ml,ACME Laboratories Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,45.00,,45.00,,,,0,,,,,,,Cloxacillin Sodium,125 mg/5 ml,,,0,
A-Clox 500 mg,ACME Laboratories Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,5.98,,5.98,,,,0,,,,,,,Cloxacillin Sodium,500 mg,,,0,
A-Care 6 mg+200 mg+50 mg,Asiatic Laboratories Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,2.50,,2.50,,,,0,,,,,,,Betacarotene + Vitamin C + Vitamin E,6 mg+200 mg+50 mg,,,0,
A-Card 20 mg,ACME Laboratories Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,1.43,,1.43,,,,0,,,,,,,Isosorbide Mononitrate,20 mg,,,0,
A-Calm 50 mg,ACME Laboratories Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,6.00,,6.00,,,,0,,,,,,,Tolperisone Hydrochloride,50 mg,,,0,
A-Cal DX 500 mg+400 IU,ACME Laboratories Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,7.50,,7.50,,,,0,,,,,,,Calcium Carbonate [Elemental source] + Vitamin D3,500 mg+400 IU,,,0,
A-Cal D 500 mg+200 IU,ACME Laboratories Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,6.50,,6.50,,,,0,,,,,,,Calcium Carbonate [Elemental source] + Vitamin D3,500 mg+200 IU,,,0,
A-Cal 500 mg,ACME Laboratories Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,5.00,,5.00,,,,0,,,,,,,Calcium Carbonate,500 mg,,,0,
A-B1 100 mg,ACME Laboratories Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,0.86,,0.86,,,,0,,,,,,,Thiamine Hydrochloride,100 mg,,,0,
5X 30 mg,Renata Limited,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,200.00,,200.00,,,,0,,,,,,,Ulipristal Acetate [For emergency contraception],30 mg,,,0,
5-Fluril 25 mg/ml,Techno Drugs Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,55.00,,55.00,,,,0,,,,,,,Fluorouracil,25 mg/ml,,,0,
Arubin 500 mg,Square Pharmaceuticals Ltd.,pcs,herbal,,,,1,,,,,exclusive,single,,,,,4.00,,4.00,,,,0,,,,,,,Nabayas Louha Herbal Haematinic,500 mg,,,0,
Arkid,ACME Laboratories Ltd.,pcs,herbal,,,,1,,,,,exclusive,single,,,,,70.00,,70.00,,,,0,,,,,,,Aravindasav,,,,0,
Arjunacard,ACME Laboratories Ltd.,pcs,herbal,,,,1,,,,,exclusive,single,,,,,90.00,,90.00,,,,0,,,,,,,Arjunarista,,,,0,
Apelin,Hamdard Bangladesh,pcs,herbal,,,,1,,,,,exclusive,single,,,,,60.00,,60.00,,,,0,,,,,,,Malus sylvestris,,,,0,
Antiligo,Hamdard Bangladesh,pcs,herbal,,,,1,,,,,exclusive,single,,,,,3.00,,3.00,,,,0,,,,,,,Barsina,,,,0,
Anseng 500 mg,Aristopharma Ltd.,pcs,herbal,,,,1,,,,,exclusive,single,,,,,20.00,,20.00,,,,0,,,,,,,Panax Ginseng,500 mg,,,0,
Anjort 300 mg,Ibn Sina Pharmaceuticals Ltd.,pcs,herbal,,,,1,,,,,exclusive,single,,,,,4.33,,4.33,,,,0,,,,,,,St. John’s Wort,300 mg,,,0,
Amlacid,ACME Laboratories Ltd.,pcs,herbal,,,,1,,,,,exclusive,single,,,,,80.00,,80.00,,,,0,,,,,,,Amalaki Rasayana,,,,0,
Amlabery,Drug International Ltd.,pcs,herbal,,,,1,,,,,exclusive,single,,,,,350.00,,350.00,,,,0,,,,,,,Sharbat Amla,,,,0,
Amla (Hair oil) (1.66 ml+3.3 ml)/5 ml,Hamdard Bangladesh,pcs,herbal,,,,1,,,,,exclusive,single,,,,,200.00,,200.00,,,,0,,,,,,,Emblic Myrobalan + Sesame,(1.66 ml+3.3 ml)/5 ml,,,0,
AmCivit (3.03 ml+0.12 gm)/5 ml,Square Pharmaceuticals Ltd.,pcs,herbal,,,,1,,,,,exclusive,single,,,,,60.00,,60.00,,,,0,,,,,,,Emblica officinalis + Piper longum,(3.03 ml+0.12 gm)/5 ml,,,0,
Alvasin,Hamdard Bangladesh,pcs,herbal,,,,1,,,,,exclusive,single,,,,,70.00,,70.00,,,,0,,,,,,,Ejaz,,,,0,
Altiver 60 mg,Kemiko Pharmaceuticals Ltd.,pcs,herbal,,,,1,,,,,exclusive,single,,,,,22.00,,22.00,,,,0,,,,,,,Ginkgo Biloba,60 mg,,,0,
Alovera 345 mg,ACME Laboratories Ltd.,pcs,herbal,,,,1,,,,,exclusive,single,,,,,8.00,,8.00,,,,0,,,,,,,Aloe indica+ Hyoscyamus niger + Piper nigrum,345 mg,,,0,
Alkuli,Hamdard Bangladesh,pcs,herbal,,,,1,,,,,exclusive,single,,,,,50.00,,50.00,,,,0,,,,,,,Buzuri,,,,0,
Alisa,Hamdard Bangladesh,pcs,herbal,,,,1,,,,,exclusive,single,,,,,2.00,,2.00,,,,0,,,,,,,Garlitab,,,,0,
Aliksir 500 mg,Renata Limited,pcs,herbal,,,,1,,,,,exclusive,single,,,,,12.00,,12.00,,,,0,,,,,,,Nigella Sativa [Black Seed Oil],500 mg,,,0,
Alfa-E 200 mg,Aristopharma Ltd.,pcs,herbal,,,,1,,,,,exclusive,single,,,,,5.00,,5.00,,,,0,,,,,,,Vitamin E [Alpha Tocopherol Acetate],200 mg,,,0,
Agerd,Hamdard Bangladesh,pcs,herbal,,,,1,,,,,exclusive,single,,,,,3.00,,3.00,,,,0,,,,,,,Tabkheer,,,,0,
Afrodic,Ibn Sina Pharmaceuticals Ltd.,pcs,herbal,,,,1,,,,,exclusive,single,,,,,50.00,,50.00,,,,0,,,,,,,Herbal cough syrup [Tulsi],,,,0,
Afrodic,Ibn Sina Pharmaceuticals Ltd.,pcs,herbal,,,,1,,,,,exclusive,single,,,,,15.00,,15.00,,,,0,,,,,,,Ambar Momiyaee,,,,0,
Adovas,Square Pharmaceuticals Ltd.,pcs,herbal,,,,1,,,,,exclusive,single,,,,,70.00,,70.00,,,,0,,,,,,,Herbal cough syrup [Adhatoda Vasica],,,,0,
Adolef,Opsonin Pharma Ltd.,pcs,herbal,,,,1,,,,,exclusive,single,,,,,65.00,,65.00,,,,0,,,,,,,Herbal cough syrup [Adhatoda Vasica],,,,0,
Acteria 4 billion/sachet,Radiant Nutraceuticals Ltd.,pcs,herbal,,,,1,,,,,exclusive,single,,,,,42.00,,42.00,,,,0,,,,,,,Probiotic Combination [4 Billion],4 billion/sachet,,,0,
Acteria 4 billion,Radiant Nutraceuticals Ltd.,pcs,herbal,,,,1,,,,,exclusive,single,,,,,40.00,,40.00,,,,0,,,,,,,Probiotic Combination [4 Billion],4 billion,,,0,
Acmina,ACME Laboratories Ltd.,pcs,herbal,,,,1,,,,,exclusive,single,,,,,70.00,,70.00,,,,0,,,,,,,"Mustakarista [Cyperus, Zingiber, Piper nigrum]",,,,0,
Acme's Spirulina 450 mg,ACME Laboratories Ltd.,pcs,herbal,,,,1,,,,,exclusive,single,,,,,4.00,,4.00,,,,0,,,,,,,Spirulina,450 mg,,,0,
Acme's Chyabanprash,ACME Laboratories Ltd.,pcs,herbal,,,,1,,,,,exclusive,single,,,,,110.00,,110.00,,,,0,,,,,,,Emblic Myrobalan + Aswagandha + Grape,,,,0,
Acme's Basok,ACME Laboratories Ltd.,pcs,herbal,,,,1,,,,,exclusive,single,,,,,65.00,,65.00,,,,0,,,,,,,Herbal cough syrup [Vasakarista],,,,0,
Centurin 250 mg,Hamdard Bangladesh,pcs,herbal,,,,1,,,,,exclusive,single,,,,,4.40,,4.40,,,,0,,,,,,,Penitab,250 mg,,,0,
Carmina,Hamdard Bangladesh,pcs,herbal,,,,1,,,,,exclusive,single,,,,,1.42,,1.42,,,,0,,,,,,,Herbal gastric preparation,,,,0,
Carmina,Hamdard Bangladesh,pcs,herbal,,,,1,,,,,exclusive,single,,,,,50.00,,50.00,,,,0,,,,,,,Herbal gastric preparation,,,,0,
Cardi Q 50 mg,Square Pharmaceuticals Ltd.,pcs,herbal,,,,1,,,,,exclusive,single,,,,,12.00,,12.00,,,,0,,,,,,,Coenzyme Q10 [Ubidecarenone],50 mg,,,0,
Cardi Q 100 mg,Square Pharmaceuticals Ltd.,pcs,herbal,,,,1,,,,,exclusive,single,,,,,20.00,,20.00,,,,0,,,,,,,Coenzyme Q10 [Ubidecarenone],100 mg,,,0,
Calrip,Hamdard Bangladesh,pcs,herbal,,,,1,,,,,exclusive,single,,,,,22.00,,22.00,,,,0,,,,,,,Marwareedi,,,,0,
Brogel 500 mg,Bronson  Laboratories (BD) Ltd.,pcs,herbal,,,,1,,,,,exclusive,single,,,,,15.00,,15.00,,,,0,,,,,,,Spirulina,500 mg,,,0,
Braintel,ACME Laboratories Ltd.,pcs,herbal,,,,1,,,,,exclusive,single,,,,,75.00,,75.00,,,,0,,,,,,,Brahmi Rasayan,,,,0,
Bolardi 500 mg,Square Pharmaceuticals Ltd.,pcs,herbal,,,,1,,,,,exclusive,single,,,,,16.00,,16.00,,,,0,,,,,,,Saccharomyces Boulardii,500 mg,,,0,
Bolardi 250 mg,Square Pharmaceuticals Ltd.,pcs,herbal,,,,1,,,,,exclusive,single,,,,,10.00,,10.00,,,,0,,,,,,,Saccharomyces Boulardii,250 mg,,,0,
Bliss 140 mg,Purnava Limited,pcs,herbal,,,,1,,,,,exclusive,single,,,,,20.00,,20.00,,,,0,,,,,,,Silymarin [Milk thistle],140 mg,,,0,
Black Cohos 40 mg,Ibn Sina Pharmaceuticals Ltd.,pcs,herbal,,,,1,,,,,exclusive,single,,,,,6.50,,6.50,,,,0,,,,,,,Black Cohosh [Cimicifuga Racemosa],40 mg,,,0,
Biovit-E 200 mg,Biopharma Laboratories Ltd.,pcs,herbal,,,,1,,,,,exclusive,single,,,,,5.00,,5.00,,,,0,,,,,,,Vitamin E [Alpha Tocopherol Acetate],200 mg,,,0,
Bioprem 2500 mcg,Square Pharmaceuticals Ltd.,pcs,herbal,,,,1,,,,,exclusive,single,,,,,25.00,,25.00,,,,0,,,,,,,Biotin,2500 mcg,,,0,
Bioprem 1000 mcg,Square Pharmaceuticals Ltd.,pcs,herbal,,,,1,,,,,exclusive,single,,,,,15.00,,15.00,,,,0,,,,,,,Biotin,1000 mcg,,,0,
Bioglo 1000 mcg,Drug International Ltd.,pcs,herbal,,,,1,,,,,exclusive,single,,,,,15.00,,15.00,,,,0,,,,,,,Biotin,1000 mcg,,,0,
Bioglo 2500 mcg,Drug International Ltd.,pcs,herbal,,,,1,,,,,exclusive,single,,,,,25.00,,25.00,,,,0,,,,,,,Biotin,2500 mcg,,,0,
Biogen 1 gm,Kemiko Pharmaceuticals Ltd.,pcs,herbal,,,,1,,,,,exclusive,single,,,,,26.33,,26.33,,,,0,,,,,,,Collagen II & GAGs,1 gm,,,0,
Bio-7 1000 mcg,The White Horse Pharma,pcs,herbal,,,,1,,,,,exclusive,single,,,,,20.00,,20.00,,,,0,,,,,,,Biotin,1000 mcg,,,0,
Bilogin 60 mg,Alien Pharma,pcs,herbal,,,,1,,,,,exclusive,single,,,,,20.00,,20.00,,,,0,,,,,,,Ginkgo Biloba,60 mg,,,0,
Biloba 60 mg,Drug International Ltd.,pcs,herbal,,,,1,,,,,exclusive,single,,,,,6.00,,6.00,,,,0,,,,,,,Ginkgo Biloba,60 mg,,,0,
Betaburn 0.25% w/w,Square Pharmaceuticals Ltd.,pcs,herbal,,,,1,,,,,exclusive,single,,,,,100.00,,100.00,,,,0,,,,,,,β-Sitosterol,0.25% w/w,,,0,
Bel (1 gm+0.5 gm)/5 ml,Ibn Sina Pharmaceuticals Ltd.,pcs,herbal,,,,1,,,,,exclusive,single,,,,,37.50,,37.50,,,,0,,,,,,,Belgiri [Bael fruit + Connessi bark],(1 gm+0.5 gm)/5 ml,,,0,
Basokof,Ibn Sina Pharmaceuticals Ltd.,pcs,herbal,,,,1,,,,,exclusive,single,,,,,50.00,,50.00,,,,0,,,,,,,Herbal cough syrup [Vasakarista],,,,0,
Basak,Hamdard Bangladesh,pcs,herbal,,,,1,,,,,exclusive,single,,,,,65.00,,65.00,,,,0,,,,,,,Herbal cough syrup [Vasakarista],,,,0,
Bandish 15.63 mg+78.12 mg,Ibn Sina Pharmaceuticals Ltd.,pcs,herbal,,,,1,,,,,exclusive,single,,,,,3.00,,3.00,,,,0,,,,,,,"Bandish [Oak Galls, Tannic acid]",15.63 mg+78.12 mg,,,0,
Balarist-A,ACME Laboratories Ltd.,pcs,herbal,,,,1,,,,,exclusive,single,,,,,100.00,,100.00,,,,0,,,,,,,Balarista,,,,0,
Asparex,ACME Laboratories Ltd.,pcs,herbal,,,,1,,,,,exclusive,single,,,,,150.00,,150.00,,,,0,,,,,,,Compound Asparagus,,,,0,
Asmarid,ACME Laboratories Ltd.,pcs,herbal,,,,1,,,,,exclusive,single,,,,,100.00,,100.00,,,,0,,,,,,,Mahadrakkharist [Grape extract],,,,0,
E-Cap 600 IU,Drug International Ltd.,pcs,herbal,,,,1,,,,,exclusive,single,,,,,8.00,,8.00,,,,0,,,,,,,Vitamin E [Alpha Tocopherol Acetate],600 IU,,,0,
E 400 400 IU,Bristol Pharmaceuticals Ltd.,pcs,herbal,,,,1,,,,,exclusive,single,,,,,5.00,,5.00,,,,0,,,,,,,Vitamin E [Alpha Tocopherol Acetate],400 IU,,,0,
E 200 200 IU,Bristol Pharmaceuticals Ltd.,pcs,herbal,,,,1,,,,,exclusive,single,,,,,3.33,,3.33,,,,0,,,,,,,Vitamin E [Alpha Tocopherol Acetate],200 IU,,,0,
Dysni,Hamdard Bangladesh,pcs,herbal,,,,1,,,,,exclusive,single,,,,,3.00,,3.00,,,,0,,,,,,,Pechish,,,,0,
Duratab,Ibn Sina Pharmaceuticals Ltd.,pcs,herbal,,,,1,,,,,exclusive,single,,,,,17.25,,17.25,,,,0,,,,,,,Habb-e-Nishat,,,,0,
Dubarel,Square Pharmaceuticals Ltd.,pcs,herbal,,,,1,,,,,exclusive,single,,,,,100.00,,100.00,,,,0,,,,,,,Aushokarist [Saraca Indica],,,,0,
Dolabi,Hamdard Bangladesh,pcs,herbal,,,,1,,,,,exclusive,single,,,,,3.00,,3.00,,,,0,,,,,,,Natural medicine for diabetes,,,,0,
DK 400 IU+60 mcg+30 mcg,Square Pharmaceuticals Ltd.,pcs,herbal,,,,1,,,,,exclusive,single,,,,,6.00,,6.00,,,,0,,,,,,,Vitamin D3 + Vitamin K1 + Vitamin K2,400 IU+60 mcg+30 mcg,,,0,
Dirulina 500 mg,Ibn Sina Pharmaceuticals Ltd.,pcs,herbal,,,,1,,,,,exclusive,single,,,,,6.00,,6.00,,,,0,,,,,,,Spirulina,500 mg,,,0,
Digac,ACME Laboratories Ltd.,pcs,herbal,,,,1,,,,,exclusive,single,,,,,45.00,,45.00,,,,0,,,,,,,Jamani Arka,,,,0,
Difans 5 mg,Drug International Ltd.,pcs,herbal,,,,1,,,,,exclusive,single,,,,,60.00,,60.00,,,,0,,,,,,,Hazmina,5 mg,,,0,
Devas,Drug International Ltd.,pcs,herbal,,,,1,,,,,exclusive,single,,,,,70.00,,70.00,,,,0,,,,,,,Herbal cough syrup [Adhatoda Vasica],,,,0,
Dermaid,Hamdard Bangladesh,pcs,herbal,,,,1,,,,,exclusive,single,,,,,70.00,,70.00,,,,0,,,,,,,Marham Kharish,,,,0,
Decaren 60 mg,Renata Limited,pcs,herbal,,,,1,,,,,exclusive,single,,,,,20.00,,20.00,,,,0,,,,,,,Coenzyme Q10 [Ubidecarenone],60 mg,,,0,
Danta Rakkha,Hamdard Bangladesh,pcs,herbal,,,,1,,,,,exclusive,single,,,,,65.00,,65.00,,,,0,,,,,,,Sanoon Babla,,,,0,
Dabur Chyawanprash,Dabur India Limited,pcs,herbal,,,,1,,,,,exclusive,single,,,,,300.00,,300.00,,,,0,,,,,,,Emblic Myrobalan + Aswagandha + Grape,,,,0,
D-Sefa 500 mg,Drug International Ltd.,pcs,herbal,,,,1,,,,,exclusive,single,,,,,7.00,,7.00,,,,0,,,,,,,Nigella Sativa [Black Seed Oil],500 mg,,,0,
Curnoid 500 mg,Radiant Nutraceuticals Ltd.,pcs,herbal,,,,1,,,,,exclusive,single,,,,,35.00,,35.00,,,,0,,,,,,,Curcuminoids [Curcuma Longa],500 mg,,,0,
Cranbiotic 400 mg,Radiant Nutraceuticals Ltd.,pcs,herbal,,,,1,,,,,exclusive,single,,,,,20.00,,20.00,,,,0,,,,,,,Cranberry [Vaccinium macrocarpon],400 mg,,,0,
Cran-B 400 mg,Incepta Pharmaceuticals Ltd.,pcs,herbal,,,,1,,,,,exclusive,single,,,,,14.00,,14.00,,,,0,,,,,,,Cranberry [Vaccinium macrocarpon],400 mg,,,0,
Cpvit E 200 mg,Cosmo Pharma Ltd.,pcs,herbal,,,,1,,,,,exclusive,single,,,,,2.00,,2.00,,,,0,,,,,,,Vitamin E [Alpha Tocopherol Acetate],200 mg,,,0,
Cozyme 60 mg,Drug International Ltd.,pcs,herbal,,,,1,,,,,exclusive,single,,,,,15.05,,15.05,,,,0,,,,,,,Coenzyme Q10 [Ubidecarenone],60 mg,,,0,
Cozyme 30 mg,Drug International Ltd.,pcs,herbal,,,,1,,,,,exclusive,single,,,,,8.05,,8.05,,,,0,,,,,,,Coenzyme Q10 [Ubidecarenone],30 mg,,,0,
CoQ 60 mg,Beacon Pharmaceuticals Ltd.,pcs,herbal,,,,1,,,,,exclusive,single,,,,,15.05,,15.05,,,,0,,,,,,,Coenzyme Q10 [Ubidecarenone],60 mg,,,0,
CoQ 30 mg,Beacon Pharmaceuticals Ltd.,pcs,herbal,,,,1,,,,,exclusive,single,,,,,8.02,,8.02,,,,0,,,,,,,Coenzyme Q10 [Ubidecarenone],30 mg,,,0,
Cool max,ACME Laboratories Ltd.,pcs,herbal,,,,1,,,,,exclusive,single,,,,,70.00,,70.00,,,,0,,,,,,,Mentha + Cinnamomum + Gaultheria + Capsicum,,,,0,
Colmint 187 mg/0.2 ml,Square Pharmaceuticals Ltd.,pcs,herbal,,,,1,,,,,exclusive,single,,,,,6.00,,6.00,,,,0,,,,,,,Peppermint Oil,187 mg/0.2 ml,,,0,
Cinkara,Hamdard Bangladesh,pcs,herbal,,,,1,,,,,exclusive,single,,,,,60.00,,60.00,,,,0,,,,,,,Herbal Multivitamin,,,,0,
Chirol,Ibn Sina Pharmaceuticals Ltd.,pcs,herbal,,,,1,,,,,exclusive,single,,,,,3.00,,3.00,,,,0,,,,,,,Sharbat Musaffi,,,,0,
Femorose 1000 mg,Incepta Pharmaceuticals Ltd.,pcs,herbal,,,,1,,,,,exclusive,single,,,,,12.00,,12.00,,,,0,,,,,,,Evening primrose oil,1000 mg,,,0,
Femiton 500 mg,ACME Laboratories Ltd.,pcs,herbal,,,,1,,,,,exclusive,single,,,,,5.00,,5.00,,,,0,,,,,,,Monjistha [Rubia cordifolia],500 mg,,,0,
Fecilax (3.5 gm+7.5 mg)/5.38 gm,ACME Laboratories Ltd.,pcs,herbal,,,,1,,,,,exclusive,single,,,,,350.00,,350.00,,,,0,,,,,,,Psyllium [Ispaghula Husk] + Senna Extract,(3.5 gm+7.5 mg)/5.38 gm,,,0,
EVV 200 mg,Pharmadesh Laboratories Ltd.,pcs,herbal,,,,1,,,,,exclusive,single,,,,,5.52,,5.52,,,,0,,,,,,,Vitamin E [Alpha Tocopherol Acetate],200 mg,,,0,
Evit 400 mg,Square Pharmaceuticals Ltd.,pcs,herbal,,,,1,,,,,exclusive,single,,,,,6.00,,6.00,,,,0,,,,,,,Vitamin E [Alpha Tocopherol Acetate],400 mg,,,0,
Evit 200 mg,Square Pharmaceuticals Ltd.,pcs,herbal,,,,1,,,,,exclusive,single,,,,,4.00,,4.00,,,,0,,,,,,,Vitamin E [Alpha Tocopherol Acetate],200 mg,,,0,
Evidon 200 mg,Doctor’s Chemical Works Ltd.,pcs,herbal,,,,1,,,,,exclusive,single,,,,,2.90,,2.90,,,,0,,,,,,,Vitamin E [Alpha Tocopherol Acetate],200 mg,,,0,
Etrifal Ustukhudus,Hamdard Bangladesh,pcs,herbal,,,,1,,,,,exclusive,single,,,,,120.00,,120.00,,,,0,,,,,,,Lavendar [Lavendula stoechas],,,,0,
Eredex 5.4 mg,Square Pharmaceuticals Ltd.,pcs,herbal,,,,1,,,,,exclusive,single,,,,,30.00,,30.00,,,,0,,,,,,,Yohimbine Hydrochloride,5.4 mg,,,0,
Eprim Plus 1000 mg,Square Pharmaceuticals Ltd.,pcs,herbal,,,,1,,,,,exclusive,single,,,,,12.00,,12.00,,,,0,,,,,,,Evening primrose oil,1000 mg,,,0,
Eprim 500 mg,Square Pharmaceuticals Ltd.,pcs,herbal,,,,1,,,,,exclusive,single,,,,,7.00,,7.00,,,,0,,,,,,,Evening primrose oil,500 mg,,,0,
Enerton,Square Pharmaceuticals Ltd.,pcs,herbal,,,,1,,,,,exclusive,single,,,,,170.00,,170.00,,,,0,,,,,,,Balarista,,,,0,
Endurex,Hamdard Bangladesh,pcs,herbal,,,,1,,,,,exclusive,single,,,,,60.00,,60.00,,,,0,,,,,,,Mumshik,,,,0,
Endemali,Hamdard Bangladesh,pcs,herbal,,,,1,,,,,exclusive,single,,,,,19.00,,19.00,,,,0,,,,,,,Antacid [Unani],,,,0,
Efynal 200 mg,Healthcare Pharmaceuticals Ltd.,pcs,herbal,,,,1,,,,,exclusive,single,,,,,6.50,,6.50,,,,0,,,,,,,Vitamin E [Alpha Tocopherol Acetate],200 mg,,,0,
Ecovit-S 200 mg,Globe Pharmaceuticals Ltd.,pcs,herbal,,,,1,,,,,exclusive,single,,,,,4.00,,4.00,,,,0,,,,,,,Vitamin E [Alpha Tocopherol Acetate],200 mg,,,0,
Ecovit 400 mg,Globe Pharmaceuticals Ltd.,pcs,herbal,,,,1,,,,,exclusive,single,,,,,6.00,,6.00,,,,0,,,,,,,Vitamin E [Alpha Tocopherol Acetate],400 mg,,,0,
E-Zen 200 mg,Zenith Pharmaceuticals Ltd.,pcs,herbal,,,,1,,,,,exclusive,single,,,,,3.51,,3.51,,,,0,,,,,,,Vitamin E [Alpha Tocopherol Acetate],200 mg,,,0,
E-Tab 200 IU,ACME Laboratories Ltd.,pcs,herbal,,,,1,,,,,exclusive,single,,,,,3.27,,3.27,,,,0,,,,,,,Vitamin E [Alpha Tocopherol Acetate],200 IU,,,0,
E-Soft 400 IU,Pacific Pharmaceuticals Ltd.,pcs,herbal,,,,1,,,,,exclusive,single,,,,,6.00,,6.00,,,,0,,,,,,,Vitamin E [Alpha Tocopherol Acetate],400 IU,,,0,
E-Soft 200 IU,Pacific Pharmaceuticals Ltd.,pcs,herbal,,,,1,,,,,exclusive,single,,,,,4.00,,4.00,,,,0,,,,,,,Vitamin E [Alpha Tocopherol Acetate],200 IU,,,0,
E-Gold 200 IU,Rangs Pharmaceuticals Ltd.,pcs,herbal,,,,1,,,,,exclusive,single,,,,,4.02,,4.02,,,,0,,,,,,,Vitamin E [Alpha Tocopherol Acetate],200 IU,,,0,
E-Gold 400 IU,Rangs Pharmaceuticals Ltd.,pcs,herbal,,,,1,,,,,exclusive,single,,,,,6.00,,6.00,,,,0,,,,,,,Vitamin E [Alpha Tocopherol Acetate],400 IU,,,0,
E-Gel DS 400 IU,Renata Limited,pcs,herbal,,,,1,,,,,exclusive,single,,,,,6.02,,6.02,,,,0,,,,,,,Vitamin E [Alpha Tocopherol Acetate],400 IU,,,0,
E-Gel 200 IU,Renata Limited,pcs,herbal,,,,1,,,,,exclusive,single,,,,,4.01,,4.01,,,,0,,,,,,,Vitamin E [Alpha Tocopherol Acetate],200 IU,,,0,
E-fill 400 mg,General Pharmaceuticals Ltd.,pcs,herbal,,,,1,,,,,exclusive,single,,,,,6.04,,6.04,,,,0,,,,,,,Vitamin E [Alpha Tocopherol Acetate],400 mg,,,0,
E-fill 200 mg,General Pharmaceuticals Ltd.,pcs,herbal,,,,1,,,,,exclusive,single,,,,,4.04,,4.04,,,,0,,,,,,,Vitamin E [Alpha Tocopherol Acetate],200 mg,,,0,
E-Cold 450 mg,Ibn Sina Pharmaceuticals Ltd.,pcs,herbal,,,,1,,,,,exclusive,single,,,,,5.00,,5.00,,,,0,,,,,,,Echinacea,450 mg,,,0,
E-Cap 200 IU,Drug International Ltd.,pcs,herbal,,,,1,,,,,exclusive,single,,,,,4.50,,4.50,,,,0,,,,,,,Vitamin E [Alpha Tocopherol Acetate],200 IU,,,0,
Hajmo-A 500 mg,ACME Laboratories Ltd.,pcs,herbal,,,,1,,,,,exclusive,single,,,,,0.80,,0.80,,,,0,,,,,,,Vaskar Laban [Piper + Zingiber + Cinnamomum],500 mg,,,0,
Gynolac 2.3 billion,Drug International Ltd.,pcs,herbal,,,,1,,,,,exclusive,single,,,,,0,,0,,,,0,,,,,,,Probiotic Combination [2.3 Billion],2.3 billion,,,0,
GoodGut 4 billion,Renata Limited,pcs,herbal,,,,1,,,,,exclusive,single,,,,,16.00,,16.00,,,,0,,,,,,,Probiotic Combination [4 Billion],4 billion,,,0,
Goodbac-3S 4 billion,Aristopharma Ltd.,pcs,herbal,,,,1,,,,,exclusive,single,,,,,40.00,,40.00,,,,0,,,,,,,Probiotic Combination [4 Billion],4 billion,,,0,
Gobison 120 mg,Bronson  Laboratories (BD) Ltd.,pcs,herbal,,,,1,,,,,exclusive,single,,,,,25.00,,25.00,,,,0,,,,,,,Ginkgo Biloba,120 mg,,,0,
Gintonic 300 mg/5 ml,ACME Laboratories Ltd.,pcs,herbal,,,,1,,,,,exclusive,single,,,,,350.00,,350.00,,,,0,,,,,,,Panax Ginseng,300 mg/5 ml,,,0,
