NAME,BRAND,UNIT,CATEGORY,SUB-CATEGORY,SKU (Leave blank to auto generate sku),BARCODE TYPE,MANAGE STOCK (1=yes 0=No),ALERT QUANTITY,EXPIRES IN,EXPIRY PERIOD UNIT (months/days),APPLICABLE TAX,Selling Price Tax Type (inclusive or exclusive),PRODUCT TYPE (single or variable),VARIATION NAME (Keep blank if product type is single),VARIATION VALUES (| seperated values & blank if product type if single),VARIATION SKUs (| seperated values & blank if product type if single),PURCHASE PRICE (Including tax),PURCHASE PRICE (Excluding tax),PROFIT MARGIN,SELLING PRICE,OPENING STOCK,LOCATION,EXPIRY DATE,ENABLE IMEI OR SERIAL NUMBER(1=yes 0=No),WEIGHT,RACK,ROW,POSITION,IMAGE,PRODUCT DESCRIPTION,CUSTOM FIELD 1,CUSTOM FIELD 2,CUSTOM FIELD 3,CUSTOM FIELD 4,NOT FOR SELLING(1=yes 0=No),PRODUCT LOCATIONS
A-Rox 50 mg/5 ml,Ambee Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,45.14,,45.14,,,,0,,,,,,,Roxithromycin,50 mg/5 ml,,,0,
Fero Plus 200 mg+400 mcg,Amico Laboratories Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,0.38,,0.38,,,,0,,,,,,,Ferrous Fumarate + Folic acid,200 mg+400 mcg,,,0,
Fermid 50 mg,Gaco Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,10.03,,10.03,,,,0,,,,,,,Clomiphene Citrate,50 mg,,,0,
Feriz TR 150 mg+0.5 mg+61.8 mg,Medimet Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,2.90,,2.90,,,,0,,,,,,,Ferrous Sulfate + Folic Acid + Zinc Sulfate,150 mg+0.5 mg+61.8 mg,,,0,
Ferix-V 50 mg+0.50 mg+61.80 mg,Renata Limited,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,4.00,,4.00,,,,0,,,,,,,Carbonyl Iron + Folic Acid + Zinc Sulfate,50 mg+0.50 mg+61.80 mg,,,0,
Ferium 500 mg/10 ml,Renata Limited,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,700.00,,700.00,,,,0,,,,,,,Ferric Carboxymaltose,500 mg/10 ml,,,0,
Feristar 100 mg/5 ml,Renata Limited,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,325.00,,325.00,,,,0,,,,,,,Iron Sucrose Injection [Elemental Iron],100 mg/5 ml,,,0,
Ferisen 500 mg/10 ml,Healthcare Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,710.00,,710.00,,,,0,,,,,,,Ferric Carboxymaltose,500 mg/10 ml,,,0,
Ferisen 100 mg/2 ml,Healthcare Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,410.00,,410.00,,,,0,,,,,,,Ferric Carboxymaltose,100 mg/2 ml,,,0,
Ferisen 1 gm/20 ml,Healthcare Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,1300.00,,1300.00,,,,0,,,,,,,Ferric Carboxymaltose,1 gm/20 ml,,,0,
Feripon 500 mg,Drug International Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,18.00,,18.00,,,,0,,,,,,,Deferiprone,500 mg,,,0,
Ferintus 500 mg/10 ml,Beximco Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,700.00,,700.00,,,,0,,,,,,,Ferric Carboxymaltose,500 mg/10 ml,,,0,
Ferintus 100 mg/2 ml,Beximco Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,400.00,,400.00,,,,0,,,,,,,Ferric Carboxymaltose,100 mg/2 ml,,,0,
Ferinject 100 mg/2 ml,Vifor International Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,996.74,,996.74,,,,0,,,,,,,Ferric Carboxymaltose,100 mg/2 ml,,,0,
Ferinject 500 mg/10 ml,Vifor International Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,3114.80,,3114.80,,,,0,,,,,,,Ferric Carboxymaltose,500 mg/10 ml,,,0,
Ferina 200 mg+200 mcg,Guardian Healthcare Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,1.45,,1.45,,,,0,,,,,,,Ferrous Fumarate + Folic acid,200 mg+200 mcg,,,0,
Ferimax 50 mg/2.5 ml,Incepta Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,300.00,,300.00,,,,0,,,,,,,Iron Sucrose Injection [Elemental Iron],50 mg/2.5 ml,,,0,
Ferimax 200 mg/10 ml,Incepta Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,600.00,,600.00,,,,0,,,,,,,Iron Sucrose Injection [Elemental Iron],200 mg/10 ml,,,0,
Ferimax 100 mg/5 ml,Incepta Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,350.00,,350.00,,,,0,,,,,,,Iron Sucrose Injection [Elemental Iron],100 mg/5 ml,,,0,
Ferigun S 200 mg/5 ml,Medimet Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,26.50,,26.50,,,,0,,,,,,,Ferrous Sulfate,200 mg/5 ml,,,0,
Ferigun 200 mg+500 mcg,Medimet Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,0.57,,0.57,,,,0,,,,,,,Ferrous Fumarate + Folic acid,200 mg+500 mcg,,,0,
